№ заказа,Дата поступления заказа,Название товара в Kaspi Магазине,Название в системе продавца,Артикул,Сумма,Категория,Адрес самовывоза/доставки,Дата изменения статуса,Статус,Причина отмены,Способ оплаты,Способ доставки,Курьерская служба,Принял,Выдал,Отменил,Оценка покупателя,Отзыв покупателя,Дата публикации отзыва,Оформил,Количество,Стоимость доставки для покупателя,Стоимость доставки для продавца,Компенсация за доставку,Требуется подписание,Плановая дата передачи курьеру,Фактическая дата комплектации,Склад передачи КД
981669356,30.06.2026,Портплед 30186887_250711942 полиэстер 50 л,Чехол для одежды,118697087_281433030,4489,Дорожные сумки,г. Астана,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка,Kaspi Логистика,,,,,,,,1,995.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981662573,30.06.2026,Рулон LOVE 500 шт,наклейки рулон love,136964175_179841652,476,Наклейки для творчества,г. Кокшетау,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981662720,30.06.2026,Пароочиститель Jibekki VKA-1 белый,пароочиститель Jibekki,364840260,1000,Пароочистители,"г. Курминское, село Курминское, улица Абая 12 ()",30.06.2026,Принят партнером,,Безналичная оплата,Самовывоз,,,,,,,,,1,0.0,,0.0,Не требуется,,,
981661745,30.06.2026,Разветвитель шнуровой 30381728 черный,Разветвитель шнуровой,150008308_4184412333,3449,Разветвители прикуривателя,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981660744,30.06.2026,Light Звездочки 776930800 3x3 см,неоновые звезды разноцветные,134191782_09880924,780,Интерьерные наклейки,г. Тараз,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981655952,30.06.2026,Супермаркет Посуды валик для теста 5678765 1 шт,кондитерский валик,103965371_989800,620,Кондитерские аксессуары,г. Павлодар,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981651831,30.06.2026,"Часы электронные 16157146_685_ часы будильник, пластик",часы электронные белые,138955082_4545612336,906,Настольные часы,г. Деркуль,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981638081,30.06.2026,Игрушка Самурай 4866694,набор самураи 2 шт,130946716_657365729,500,Прочие аксессуары для автомобиля,г. Талдыкорган,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981635935,30.06.2026,"Рейлинг JKBVV01-60 1 шт, нержавеющая сталь",Рейлинг,114161595_264725129,6999,Держатели и крючки для ванной,г. Уральск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981635617,30.06.2026,Kitchen & Dining форма для люля-кебаб Kebab Press - Grey 1 шт,форма для люля,123054648_123123,3741,Аксессуары для готовки,г. Уральск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981632454,30.06.2026,"Подстаканник для коляски 875610, черный",подстаканник в коляску,112424948_213123123312,1294,Аксессуары для колясок,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981631987,30.06.2026,"Сетка Сетка для пиццы, алюминий",сетка для пиццы,140107020_56745235578,3548,Посуда и формы для выпечки и запекания,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,2,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981625828,30.06.2026,Щетка 0073010 1 шт,щетка от пыли для авто,303508190,1600,Принадлежности для мойки автомобилей,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981621179,30.06.2026,Монетница 01 пластик черный,монетница черная,131131561_689458574,1695,Кошельки и визитницы,г. Караганда,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981613603,30.06.2026,"Ножницы кухонные СЕН ҮШІН 1 шт, нержавеющая сталь",кухонные ножницы золото,118067916_123123132,1247,Кухонные инструменты,г. Усть-Каменогорск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981604377,30.06.2026,игрушка для автомобиля,игрушка девочка мальчик красные,150887989_231123,1099,Прочие аксессуары для автомобиля,г. Экибастуз,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981578085,30.06.2026,"Global подушка-сиденье V1111AL7357-1 45x38 см, пенополиуретан, пена с эффектом памяти",поджопник,103647563_212156485,4004,Подушки,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981567125,30.06.2026,Зажимы для полотенец 5 шт,набор цветных прищепок 5 шт,146251669_5673489393,384,Прищепки для белья,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981555079,30.06.2026,Форма для чебуреков 30372798_471591795 2 шт,форма для чебуреков,152717796_78489578420,2400,Аксессуары для готовки,г. Актобе,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981554072,30.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1574,Малая косметологическая техника,г. Иргели,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981551216,30.06.2026,"Коврик для посуды 043948640, силикон",силиконовая сушилка для посуды,162491644_5739587574,2168,Подставки и держатели для посуды,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981541227,30.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1574,Малая косметологическая техника,г. Темиртау,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981537931,30.06.2026,"BIO SPA GDS-NB518-2, металл",Сушилка белья,103497148_272828929,3593,Сушилки для белья,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981532831,30.06.2026,"Подушка Для новорожденных детей бамбуковое волокно, хлопок, 26x28 см",подушка для новорожденных бежевая с ушками,129822157_88792213,2300,Подушки,г. Шымкент,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981529886,30.06.2026,Бейдж пластиковый,бейдж пластиковый,112441280_658247944,699,Бейджи,г. Тараз,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981523829,30.06.2026,"IEK ночник в розетку LDNN8-018-SQ-P-00-S-K01, пластик",ночник в розетку,110495253_845613353,476,Ночники и декоративные светильники,г. Петропавловск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981517597,30.06.2026,Клипса 144895 4 шт,клипса для простыней черные,114152372_54123123132,960,Крепеж для постельного белья,г. Костанай,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981510973,30.06.2026,650 мл портативный ионизатор щелочной водородной воды серый,Шейкер с фильтром серый,106325130_45776436758,8378,Бутылки для спортсменов,г. Косшы,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981509441,30.06.2026,Набор 30294842_KZ1-YYCJTZ 15 шт,кэмпинг кухня складная,130268280_7657985492,12000,Туристическая посуда,г. Астана,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка,Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981510471,30.06.2026,Наборы для слепков голубой,набор для слепка синий,123554737_854313,6904,Наборы для создания слепков,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981503593,30.06.2026,игрушка для автомобиля,игрушка девочка мальчик красные,150887989_231123,1090,Прочие аксессуары для автомобиля,г. Атырау,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981497919,30.06.2026,Наклейка 042437523 15x10 см,наклейка на зеркало,120809125_322232112,954,Пленки и наклейки для автомобилей,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981490935,30.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Астана,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981485400,30.06.2026,Держатель для очков FEYS-0022 красный 86 см,держатель очков бордо,136890679_6734788934,758,Держатели для очков,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981482894,30.06.2026,Пирамидка Стаканчики пластик,чашки пирамидки,114376618_9865678645,795,Развивающие игрушки,г. Рудный,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981476315,30.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981468785,30.06.2026,Мама и малыш Шлем защитный 00689 серый,шлем младенца,104486446_958765498,927,Защита на прогулке и дома,г. Мангистау,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981464004,30.06.2026,Набор 30294842_KZ1-YYCJTZ 15 шт,кэмпинг кухня складная,130268280_7657985492,12187,Туристическая посуда,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981458104,30.06.2026,"Держатель туалетной бумаги белый П26904 Sanflor с полочкой, металл",держатель туалетной бумаги белый со скотчем,120405666_252897457,1700,Держатели и крючки для ванной,г. Отар,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981452798,30.06.2026,Happy Mums blockroz03 Заглушки на розетку,заглушки бело-голубые,102917350_6545615285,656,Защитные устройства для мебели,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981446107,30.06.2026,Кистевой 1 шт 60 кг,эспандер для кисти,117337771_46832292753,6300,Эспандеры,г. Туркестан,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981442561,30.06.2026,Органайзер 174823 бежевый,Органайзер на козырек бежевый,120058498_313212331,1388,Автомобильные органайзеры,г. Астана,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка,Kaspi Логистика,,,,,,,,1,995.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981442678,30.06.2026,"Клеенка 997363845 150x45 см, силикон",клеенка ромашка,124116277_90989042,898,Скатерти и сервировочные коврики,г. Карауылкельды (Байганин),30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,995.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981426782,30.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1569,Малая косметологическая техника,г. Семей,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981422138,30.06.2026,Фритюрница нержавеющая сталь 30406780_186965499 серебристый,фритюрница без подставки,155101484_12654564561,2299,Фритюрницы,г. Актау (Караганд.обл.),30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981422905,30.06.2026,Ветрозащитный экран APQ030-2,ветрозащитный экран,119939163_6548092845,4060,Аксессуары для туристических горелок,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,2,995.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
979904944,29.06.2026,Чехлы для шин 189063369 L черный,чехол для колес L,123588456_94280989,3987,Защитные тенты-чехлы,г. Рудный,30.06.2026,Ожидает отмены,Отменен покупателем (Другое),Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,231.0,0.0,Не требуется,29.06.2026,,30397554_PP2
981418330,30.06.2026,"Мягкая игрушка Sprunki Пинки, высота 20 см, розовый",спрунки плющ розовый пинки,131508774_5747758745,999,Мягкие игрушки,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981408911,30.06.2026,Держатель для очков FEYS-0022 красный 86 см,держатель очков бордо,136890679_6734788934,766,Держатели для очков,г. Атырау,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981405785,30.06.2026,"Подушка Ортопедическая подушка из латекса для новорожденных латекс, хлопок, 26x28 см",подушка для новорожденных бежевая с ушками,120002781_845184651,2300,Подушки,г. Кокшетау,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981403986,30.06.2026,"Ножницы кухонные СЕН ҮШІН 1 шт, нержавеющая сталь",кухонные ножницы золото,118067916_123123132,1247,Кухонные инструменты,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981398583,30.06.2026,Happy Mums blockroz03 Заглушки на розетку,заглушки бело-голубые,102917350_6545615285,328,Защитные устройства для мебели,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981391249,30.06.2026,Ветрозащитный экран APQ030-2,ветрозащитный экран,119939163_6548092845,2003,Аксессуары для туристических горелок,г. Усть-Каменогорск,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981381722,30.06.2026,"Сетка Сетка для пиццы, алюминий",сетка для пиццы,140107020_56745235578,3548,Посуда и формы для выпечки и запекания,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,2,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981378992,30.06.2026,"Полка для роутера PDR-24614, 24.5х6x14 см, белый",полка для роутера,123436050_4387557872,1000,Полки настенные,г. Павлодар,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981373231,30.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Усть-Каменогорск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981365623,30.06.2026,Чехол для универсальный универсальный черный,универсальный чехол waterproof,122251406_5489579342,1593,Чехлы для смартфонов,г. Павлодар,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981335681,30.06.2026,Переходник USB Type-C - RJ-45 0.15 м AP545,переходник usb type-c,115998806_544513312,1977,Компьютерные кабели и переходники,г. Петропавловск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981331708,30.06.2026,105396748 фиксатор на шейный отдел размер универсальный белый,Держатель шеи,134655481_54123123,672,Шейный отдел,г. Байконыр,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981330763,30.06.2026,Подстаканник для коляски 670075138 черный,подстаканник в коляску 2.0,137412666_1259484662,3000,Аксессуары для колясок,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981326626,30.06.2026,"Корзина Модель 35x42x58 см, дерево",корзина для белья наша 42 см,164333186,4500,"Коробки, ящики и корзины для хранения",г. Костанай,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981320244,30.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981319973,30.06.2026,Пион силиконовая форма,Форма для свеч,142668752 _4708190908273,1149,Молды для творчества,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981308422,30.06.2026,Горелка APQ106 без баллона,газовая горелка с соплами,118365566_6578489432,11437,Туристические горелки и обогреватели,г. Шымкент,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981310683,30.06.2026,"Мягкая игрушка Sprunki Пинки, высота 20 см, розовый",спрунки плющ розовый пинки,131508774_5747758745,989,Мягкие игрушки,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981305582,30.06.2026,"Часы электронные 16157146_685_ часы будильник, пластик",часы электронные белые,138955082_4545612336,910,Настольные часы,г. Габиден Мустафин (Караганд.обл.),30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981300269,30.06.2026,Бейдж пластиковый,бейдж пластиковый,112441280_658247944,699,Бейджи,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981295253,30.06.2026,Мешок для замешивания теста 844867 1 шт,варежка для теста,109460216_35132123,898,Аксессуары для готовки,г. Жибек Жолы (Акмол.обл.),30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981295422,30.06.2026,PET SUPPLIES фурминатор 244 желтый,фурминатор,104801620_4708190908243,1311,"Фурминаторы, расчески, пуходерки",г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981288614,30.06.2026,Ветрозащитный экран APQ030-2,ветрозащитный экран,119939163_6548092845,2030,Аксессуары для туристических горелок,г. Петропавловск,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981283862,30.06.2026,"Ароматическая свеча Лаванда 4 см, 1 шт",ароматическая свеча лаванда Scented Candle,142282688_415645641,2845,Свечи для дома,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,5,995.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981281213,30.06.2026,"ShopMax декоративный светильник sunset projection lamp, пластик, стекло",лампа для блога,104701785_8745146531,1699,Ночники и декоративные светильники,г. Петропавловск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981279852,30.06.2026,"Панама D_4879 размер универсальный, синий",детская панамка синяя,119408939_6784857253,1218,Головные уборы,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981278612,30.06.2026,Подследники 30281421_548300444 1 пара бежевый 35-40,подследники,123055157_5758374954,534,Женские носки,г. Усть-Каменогорск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981276529,30.06.2026,Горелка APQ106 без баллона,газовая горелка с соплами,118365566_6578489432,11437,Туристические горелки и обогреватели,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,995.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981268288,30.06.2026,Chevrolet чехол Chevrolet Cobalt черный,брелок Cobalt,114223613_958865368,2015,Брелоки и чехлы для автосигнализаций,г. Жапек Батыра,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981269130,30.06.2026,Игрушка Самурай 4866694,набор самураи 2 шт,130946716_657365729,500,Прочие аксессуары для автомобиля,г. Атырау,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981256171,30.06.2026,Wellamart термометр электронный TM-001 1 шт,кулинарный термометр,104176340_8415532123,615,Аксессуары для готовки,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981254816,30.06.2026,Палочки для воздушных шаров 100 шт,палочки для воздушных шариков,116022326_813512313,1607,Насосы и держатели для воздушных шаров,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
980142677,29.06.2026,"Наклейка на тело 150 шт 3 мм, 4 мм, 5 мм, 6 мм",пирсинг 150 шт,132626624_5745930593,841,Временные тату,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
981241511,30.06.2026,"Настольный звонок S02 красный, металл",Настольный звонок красный,123923683_1564561256,990,Интерьерные колокольчики и звонки,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,2,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981228093,30.06.2026,Зажимы для полотенец 5 шт,набор цветных прищепок 5 шт,146251669_5673489393,384,Прищепки для белья,г. Кокшетау,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981218573,30.06.2026,Супермаркет Посуды валик для теста 5678765 1 шт,кондитерский валик,103965371_989800,620,Кондитерские аксессуары,г. Шиели,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981218749,30.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1569,Малая косметологическая техника,г. Караганда,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
